recherchieren    |исследовать                  |recherchiert       |recherchierte      |hat recherchiert
schulden         |быть должным                 |schuldet           |schuldete          |hat geschuldet
erfinden         |изобретать                   |erfindet           |erfand             |hat erfunden
schummeln        |мухлевать                    |schummelt          |schummelte         |hat geschummelt
verstauben       |пылиться                     |verstaubt          |verstaubte         |ist verstaubt
vertrauen        |доверять                     |vertraut           |vertraute          |hat vertraut
unternehmen      |предпринимать                |unternimmt         |unternahm          |hat unternommen
verabredeten     |назначить свидание           |verabredet         |verabredete        |hat verabredet
bewegen          |двигаться                    |bewegt             |bewegte            |hat bewegt
umdrehen         |повернись                    |dreht um           |drehte um          |hat umgedreht
besprechen       |обсуждать                    |bespricht          |besprach           |hat besprochen
aufmachen        |открыть                      |macht auf          |machte auf         |hat aufgemach
übernachten      |ночевать                     |übernachtet        |übernachtete       |hat übernachtet
zelten           |жить в палатке               |zeltet             |zeltete            |hat gezeltet
wackeln          |покачиваться качаться        |entschädigt        |entschädigte       |hat entschädigt
entschädigen     |компенсировать               |entschädigt        |entschädigte       |hat entschädigt
ausschalten      |выключать                    |schaltet aus       |schaltete aus      |hat ausgeschaltet
vorzeigen        |показывать                   |zeigt vor          |zeigte vor         |hat vorgezeigt
tanken           |заправиться                  |tankt              |tankte             |hat getankt
rutschen         |скользить                    |rutscht            |rutschte           |ist gerutscht
sperren          |закрыть                      |sperrt             |sperrte            |hat gesperrt
kämpfen          |сражаться                    |kämpft             |kämpfte            |hat gekämpft
aufpassen        |быть внимательным            |passt auf          |passte auf         |hat aufgepasst
einhalten        |удерживать                   |hält ein           |hielt ein          |hat eingehalten
sparen           |сохранять копить             |spart              |sparte             |hat gespart
erreichen        |достигать                    |erreicht           |erreichte          |hat erreicht
verwöhnen        |баловать                     |verwöhnt           |verwöhnte          |hat verwöhnt
verhalten        |вести себя                   |verhält            |verhielt           |hat verhalten
achten           |обращать внимание            |achtet             |achtete            |hat geachtet
abnehmen         |худеть                       |nimmt ab           |nahm ab            |hat abgenommen
bellen           |лаять                        |bellt              |bellte             |hat gebellt
reinigen         |чистить                      |reinigt            |reinigte           |hat gereinigt
vorlesen         |читать вслух                 |liest vor          |las vor            |hat vorgelesen
kümmern          |заботиться                   |kümmert            |kümmerte           |hat gekümmert
ändern           |менять/изменять              |ändert             |änderte            |hat geändert
verwenden        |использовать                 |verwendet          |verwendete         |hat verwendet
ernähren         |кормить                      |ernährt            |ernährte           |hat ernährt
bemühen          |стараться                    |bemüht             |bemühte            |hat bemüht
aufdrehen        |включи погромче              |dreht auf          |drehte auf         |hat aufgedreht
ausgeben         |тратить                      |gibt aus           |gab aus            |hat ausgegeben
erzählen         |рассказывать                 |erzählt            |erzählte           |hat erzählt
zudecken         |закрывать/накрывать          |deckt zu           |deckte zu          |hat zugedeckt
entspannen       |расслабляться                |entspannt          |entspannte         |hat entspannt
arbeiten         |работать                     |arbeitet           |arbeitete          |hat gearbeitet
schenken         |подарить                     |schenkt            |schenkte           |hat geschenkt
zugeben          |признавать                   |gibt zu            |gab zu             |hat zugegeben
lohnen           |стоить                       |lohnt              |lohnte             |hat gelohnt
faulenzen        |бездельничать                |faulenzt           |faulenzte          |hat gefaulenzt
schwänzen        |прогуливать                  |schwänzt           |schwänzte          |hat geschwänzt
aufräumen        |убирать                      |räumt auf          |räumte auf         |hat aufgeräumt
ausruhen         |отдохнуть                    |ruht aus           |ruhte aus          |hat ausgeruht
trampeln         |топтаться                    |trampelt           |trampelte          |hat getrampelt
wiegen           |взвешивать                   |wiegt              |wog                |hat gewogen
heben            |поднимать                    |hebt               |hob/hub            |hat gehoben
wiederholen      |повторять                    |holt wieder        |holte wieder       |hat wiedergeholt
erholen          |восстанавливаться            |erholt             |erholte            |hat erholt
einfangen        |ловить                       |fängt ein          |fing ein           |hat eingefangen
anfängen         |начинать                     |fängt an           |fing an            |hat angefangen
verwandeln       |трансформировать/превращать  |verwandelt         |verwandelte        |hat verwandelt
gucken           |смотреть                     |guckt              |guckte             |hat geguckt
entrümpeln       |вычищать                     |entrümpelt         |entrümpelte        |hat entrümpelt
löschen          |тушение/стирание             |löscht             |löschte            |hat gelöscht
stören           |беспокоить/мешать            |stört              |störte             |hat gestört
wohnen           |проживать                    |wohnt              |wohnte             |hat gewohnt
annehmen         |предполагать                 |nimmt an           |nahm an            |hat angenommen
bändigen         |усмирять/приручить           |bändigt            |bändigte           |hat gebändigt
abnehmen         |снимать                      |nimmt ab           |nahm ab            |hat abgenommen
antworten        |отвечать                     |antwortet          |antwortete         |hat geantwortet
hören            |слышать                      |hört               |hörte              |hat gehört
wünschen         |желать                       |wünscht            |wünschte           |hat gewünscht
zerbrechen       |ломать                       |zerbricht          |zerbrach           |ist zerbrochen
lernen           |учиться                      |lernt              |lernte             |hat gelernt
enthalten        |содержать                    |enthält            |enthielt           |hat enthalten
tanzen           |танцевать                    |tanzt              |tanzte             |hat getanzt
reden            |разговаривать                |redet              |redete             |hat geredet
einzahlen        |платить                      |zahlt ein          |zahlte ein         |hat eingezahlt
auszahlen        |расплачиваться               |zahlt aus          |zahlte aus         |hat ausgezahlt
bezahlen         |платить                      |bezahlt            |bezahlte           |hat bezahlt
zahlen           |платить                      |zahlt              |zahlte             |hat gezahlt
abholen          |подобрать                    |holt ab            |holte ab           |hat abgeholt
entlassen        |увольнять                    |entlässt           |entließ            |hat entlassen
entwerten        |обесценить                   |entwertet          |entwertete         |hat entwertet
beachten         |наблюдать                    |beachtet           |beachtete          |hat beachtet
durchstellen     |пережить                     |stellt durch       |stellte durch      |hat durchgestellt
einreichen       |представлять на рассмотрение |reicht ein         |reichte ein        |hat eingereicht
wählen           |выбирать                     |wählt              |wählte             |hat gewählt
verwählen        |ошибиться в выборе           |verwählt           |verwählte          |hat verwählt
imprägnieren     |пропитывать                  |imprägniert        |imprägnierte       |hat imprägniert
wechseln         |менять                       |wechselt           |wechselte          |ist gewechselt
grüßen           |приветствовать               |grüßt              |grüßte             |hat gegrüßt
anmachen         |включать                     |macht an           |machte an          |hat angemacht
abstürzen        |падать                       |stürzt ab          |stürzte ab         |ist abgestürzt
gratulieren      |поздравлять                  |gratuliert         |gratulierte        |hat gratuliert
herunterladen    |скачать                      |lädt herunter      |lud herunter       |ist heruntergeladen
stärken          |укреплять                    |stärkt             |stärkte            |hat gestärkt
zulassen         |позволять                    |lässt zu           |ließ zu            |hat zugelassen
abbiegen         |заворачивать/сворачивать     |biegt ab           |bog ab             |ist abgebogen
entschuldigen    |прощать/оправдывать          |entschuldigt       |entschuldigte      |hat entschuldigt
erinnern         |напомнить                    |erinnert           |erinnerte          |hat erinnert
organisieren     |организовать                 |organisiert        |organisierte       |hat organisiert
aufsuchen        |посещать(врача,больницу)     |sucht auf          |suchte auf         |hat aufgesucht
besuchen         |посетить(друзей,концерт)     |besucht            |besuchte           |hat besucht
ersetzen         |заменить                     |ersetzt            |ersetzte           |hat ersetzt
erhalten         |получать/сохранять           |erhält             |erhielt            |hat erhalten
starten          |запускать                    |startet            |startete           |ist gestartet
verstecken       |скрывать                     |versteckt          |versteckte         |hat versteckt
rennen           |бегать                       |rennt              |rannte             |ist gerannt
bestellen        |заказать                     |bestellt           |bestellte          |hat bestellt
telefonieren     |звонить по телефону          |telefoniert        |telefonierte       |hat telefoniert
einkaufen        |покупать                     |kauft ein          |kaufte ein         |hat eingekauft
abfahren         |отходить/уезжать             |fährt ab           |fuhr ab            |ist abgefaren
abfliegen        |вылетать/вылетать            |fliegt ab          |flog ab            |ist abgeflogen
abgeben          |отдавать                     |gibt ab            |gab ab             |hat abgegeben
abschließen      |завершить                    |schließt ab        |schloss ab         |hat abgeschlossen
anbieten         |предлагать                   |bietet an          |bot an             |hat angeboten
anfängen         |начинать                     |fangt an           |fing an            |hat angefangen
ankommen         |прибывать                    |kommt an           |kam an             |ist angekommen
anrufen          |звонить по телефону          |ruft an            |rief an            |hat angerufen
ansehen          |смотреть                     |sieht an           |sah an             |hat angesehen
anziehen         |надевать                     |zieht an           |zog an             |hat angezogen
